"Nombre de imagen","PID","Nombre de sesión","Núm. de sesión","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","Título de ventana"
"System Idle Process","0","Services","0","8 KB","Unknown","NT AUTHORITY\SYSTEM","116:30:00","N/D"
"System","4","Services","0","764 KB","Unknown","N/D","0:07:18","N/D"
"Secure System","56","Services","0","22,728 KB","Unknown","N/D","0:00:00","N/D"
"Registry","112","Services","0","76,068 KB","Unknown","N/D","0:00:02","N/D"
"smss.exe","832","Services","0","1,120 KB","Unknown","N/D","0:00:00","N/D"
"csrss.exe","744","Services","0","4,816 KB","Unknown","N/D","0:00:01","N/D"
"wininit.exe","612","Services","0","5,672 KB","Unknown","N/D","0:00:00","N/D"
"services.exe","1064","Services","0","7,904 KB","Unknown","N/D","0:00:06","N/D"
"LsaIso.exe","1084","Services","0","2,488 KB","Unknown","N/D","0:00:00","N/D"
"lsass.exe","1092","Services","0","17,020 KB","Unknown","N/D","0:00:06","N/D"
"svchost.exe","1284","Services","0","3,660 KB","Unknown","N/D","0:00:00","N/D"
"fontdrvhost.exe","1344","Services","0","2,788 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1364","Services","0","25,192 KB","Unknown","N/D","0:00:05","N/D"
"svchost.exe","1432","Services","0","12,628 KB","Unknown","N/D","0:00:07","N/D"
"svchost.exe","1476","Services","0","9,600 KB","Unknown","N/D","0:00:02","N/D"
"svchost.exe","1668","Services","0","55,556 KB","Unknown","N/D","0:00:37","N/D"
"svchost.exe","1788","Services","0","8,956 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1796","Services","0","4,840 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1828","Services","0","5,820 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1836","Services","0","6,324 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1844","Services","0","13,320 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","1952","Services","0","6,996 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","1996","Services","0","5,460 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2008","Services","0","7,312 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2040","Services","0","5,400 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","608","Services","0","7,992 KB","Unknown","N/D","0:00:15","N/D"
"svchost.exe","1500","Services","0","11,212 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2092","Services","0","10,048 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2140","Services","0","7,132 KB","Unknown","N/D","0:00:00","N/D"
"igfxCUIService.exe","2212","Services","0","6,892 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2352","Services","0","13,544 KB","Unknown","N/D","0:00:05","N/D"
"svchost.exe","2376","Services","0","13,252 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","2464","Services","0","8,040 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2484","Services","0","8,560 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2632","Services","0","6,680 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2668","Services","0","10,832 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2720","Services","0","8,632 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2768","Services","0","8,280 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2824","Services","0","6,896 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2864","Services","0","9,060 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","2880","Services","0","15,036 KB","Unknown","N/D","0:00:12","N/D"
"svchost.exe","3060","Services","0","9,908 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3244","Services","0","8,092 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3324","Services","0","6,380 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3416","Services","0","8,832 KB","Unknown","N/D","0:00:07","N/D"
"svchost.exe","3600","Services","0","6,704 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3656","Services","0","5,908 KB","Unknown","N/D","0:00:00","N/D"
"dasHost.exe","3740","Services","0","11,256 KB","Unknown","N/D","0:00:06","N/D"
"svchost.exe","3796","Services","0","7,012 KB","Unknown","N/D","0:00:08","N/D"
"svchost.exe","3988","Services","0","6,424 KB","Unknown","N/D","0:00:00","N/D"
"dasHost.exe","4084","Services","0","3,504 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3264","Services","0","5,276 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","3284","Services","0","83,980 KB","Unknown","N/D","0:02:50","N/D"
"Memory Compression","3544","Services","0","345,740 KB","Unknown","N/D","0:00:05","N/D"
"svchost.exe","3240","Services","0","7,664 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4140","Services","0","11,640 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4220","Services","0","13,308 KB","Unknown","N/D","0:00:05","N/D"
"svchost.exe","4240","Services","0","8,120 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4248","Services","0","5,612 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4320","Services","0","12,668 KB","Unknown","N/D","0:00:00","N/D"
"spoolsv.exe","4396","Services","0","25,028 KB","Unknown","N/D","0:00:07","N/D"
"IntelCpHDCPSvc.exe","4452","Services","0","5,904 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4460","Services","0","8,384 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4468","Services","0","11,868 KB","Unknown","N/D","0:00:01","N/D"
"svchost.exe","4480","Services","0","25,532 KB","Unknown","N/D","0:00:03","N/D"
"svchost.exe","4532","Services","0","24,140 KB","Unknown","N/D","0:00:05","N/D"
"AgentSvc.exe","4616","Services","0","39,032 KB","Unknown","N/D","0:02:17","N/D"
"svchost.exe","4652","Services","0","8,260 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4688","Services","0","5,936 KB","Unknown","N/D","0:00:00","N/D"
"RtkAudUService64.exe","4700","Services","0","7,780 KB","Unknown","N/D","0:06:03","N/D"
"PSANHost.exe","4704","Services","0","21,356 KB","Unknown","N/D","0:02:29","N/D"
"RstMwService.exe","4748","Services","0","5,464 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4788","Services","0","10,548 KB","Unknown","N/D","0:00:00","N/D"
"sqlwriter.exe","4796","Services","0","6,380 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4804","Services","0","5,488 KB","Unknown","N/D","0:00:00","N/D"
"IntelCpHeciSvc.exe","4964","Services","0","5,468 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4984","Services","0","18,828 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","4992","Services","0","4,948 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5000","Services","0","9,644 KB","Unknown","N/D","0:00:00","N/D"
"WavesSysSvc64.exe","5028","Services","0","7,728 KB","Unknown","N/D","0:00:00","N/D"
"vmms.exe","5036","Services","0","22,100 KB","Unknown","N/D","0:00:00","N/D"
"jenkins.exe","4296","Services","0","16,248 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","5284","Services","0","10,672 KB","Unknown","N/D","0:00:00","N/D"
"sqlbrowser.exe","5704","Services","0","6,316 KB","Unknown","N/D","0:00:00","N/D"
"sqlceip.exe","5828","Services","0","40,484 KB","Unknown","N/D","0:00:01","N/D"
"sqlservr.exe","5836","Services","0","88,180 KB","Unknown","N/D","0:11:38","N/D"
"vmcompute.exe","6044","Services","0","6,036 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6248","Services","0","10,016 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6296","Services","0","6,216 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","7136","Services","0","8,504 KB","Unknown","N/D","0:00:00","N/D"
"svchost.exe","6624","Services","0","9,316 KB","Unknown","N/D","0:00:00","N/D"
"SecurityHealthService.exe","7216","Services","0","12,312 KB","Unknown","N/D","0:00:00","N/D"
"java.exe","7332","Services","0","116,168 KB","Unknown","N/D","0:01:24","N/D"
"conhost.exe","7464","Services","0","6,392 KB","Unknown","N/D","0:00:00","N/D"
"Launchpad.exe","6204","Services","0","15,308 KB","Unknown","N/D","0:00:00","N/D"
"fdlauncher.exe","5588","Services","0","4,292 KB","Unknown","N/D","0:00:00","N/D"
"fdhost.exe","5676","Services","0","5,312 KB","Unknown","N/D","0:00:00","N/D"
"conhost.exe","5688","Services","0","4,428 KB","Unknown","N/D","0:00:00","N/D"
"SearchIndexer.exe","7956","Services","0","38,720 KB","Unknown","N/D","0:00:02","N/D"
"PSUAService.exe","1304","Services","0","4,124 KB","Unknown","N/D","0:00:10","N/D"
"svchost.exe","4972","Services","0","16,080 KB","Unknown","N/D","0:00:05","N/D"
"svchost.exe","5104","Services","0","7,780 KB","Unknown","N/D","0:00:00","N/D"
